Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Adjudicaciones:ID de Adjudicación,Entrega compilada:Adjudicaciones:Artículos Adjudicados:ID,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificaciones adicionales:ID,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificaciones adicionales:Descripción,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificaciones adicionales:Esquema
ocds-dgv273-seacev3-1191911,ocds-dgv273-seacev3-1191911-2026-03-06T10:10:19.735521-05:00,1191911-10701328715,21212539,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1187879,ocds-dgv273-seacev3-1187879-2026-03-06T10:10:18.776672-05:00,1187879-20521218097,21202184,80131502,Alquiler de instalaciones comerciales o industriales,UNSPSC
ocds-dgv273-seacev3-1188260,ocds-dgv273-seacev3-1188260-2026-03-06T10:10:18.305431-05:00,1188260-1765948,21203234,72121501,Servicios de construcción de plantas químicas,UNSPSC
ocds-dgv273-seacev3-2026-1160-9,ocds-dgv273-seacev3-2026-1160-9-2026-03-06T10:10:18.277114-05:00,1187815-20610448551,21201955,78111808,Alquiler de vehículos,UNSPSC
ocds-dgv273-seacev3-1186993,ocds-dgv273-seacev3-1186993-2026-03-06T10:10:16.855000-05:00,1186993-20610959432,21198199,15101505,Diesel,UNSPSC
ocds-dgv273-seacev3-2026-1922-33,ocds-dgv273-seacev3-2026-1922-33-2026-03-06T10:10:14.413596-05:00,1192509-L5552918105,21213998,81112205,Mantenimiento de software del sistema de gestión de bases de datos,UNSPSC
ocds-dgv273-seacev3-1191531,ocds-dgv273-seacev3-1191531-2026-03-06T10:10:13.539588-05:00,1191531-10468720243,21211513,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1191521,ocds-dgv273-seacev3-1191521-2026-03-06T10:10:13.167353-05:00,1191521-10741321748,21211498,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1191491,ocds-dgv273-seacev3-1191491-2026-03-06T10:10:12.906087-05:00,1191491-10096427307,21211462,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1191713,ocds-dgv273-seacev3-1191713-2026-03-06T10:10:12.634105-05:00,1191713-10708125003,21211881,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1191461,ocds-dgv273-seacev3-1191461-2026-03-06T10:10:12.588087-05:00,1191461-10460127241,21211416,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1191510,ocds-dgv273-seacev3-1191510-2026-03-06T10:10:11.588840-05:00,1191510-10446876649,21211546,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1191848,ocds-dgv273-seacev3-1191848-2026-03-06T10:10:10.805401-05:00,1191848-10223149117,21212351,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1188581,ocds-dgv273-seacev3-1188581-2026-03-06T10:10:10.727333-05:00,1188581-20603672047,21203973,82121504,Impresión tipográfica o serigrafía,UNSPSC
ocds-dgv273-seacev3-1191938,ocds-dgv273-seacev3-1191938-2026-03-06T10:10:10.713267-05:00,1191938-10703884305,21212555,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1191897,ocds-dgv273-seacev3-1191897-2026-03-06T10:10:10.132436-05:00,1191897-10448324449,21212477,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1186029,ocds-dgv273-seacev3-1186029-2026-03-06T10:10:09.201438-05:00,1186029-20603416938,21197410,60141302,Sets de construcción,UNSPSC
ocds-dgv273-seacev3-2026-1160-8,ocds-dgv273-seacev3-2026-1160-8-2026-03-06T10:10:08.723054-05:00,1187947-10413901311,21202274,78111808,Alquiler de vehículos,UNSPSC
ocds-dgv273-seacev3-1188825,ocds-dgv273-seacev3-1188825-2026-03-06T10:10:02.709011-05:00,1188825-20600651901,21204450,70171602,Servicios de ensayos del agua,UNSPSC
ocds-dgv273-seacev3-2026-1947-163,ocds-dgv273-seacev3-2026-1947-163-2026-03-06T10:10:02.638380-05:00,1191358-L5552918096,21211144,82101802,Servicio de producción de publicidad,UNSPSC
ocds-dgv273-seacev3-1191902,ocds-dgv273-seacev3-1191902-2026-03-06T10:10:02.408761-05:00,1191902-10461687372,21212481,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1191268,ocds-dgv273-seacev3-1191268-2026-03-06T10:10:01.394083-05:00,1191268-20406511872,21210898,72141701,Servicio de arrendamiento o alquiler de maquinaria de construcción,UNSPSC
ocds-dgv273-seacev3-1188819,ocds-dgv273-seacev3-1188819-2026-03-06T10:10:00.184463-05:00,1188819-10422711053,21204467,77101705,Servicios de consultoría en economía ambiental,UNSPSC
ocds-dgv273-seacev3-1188503,ocds-dgv273-seacev3-1188503-2026-03-06T10:10:00.012736-05:00,1188503-10094112465,21203867,27112014,Segadora de césped,UNSPSC
ocds-dgv273-seacev3-1187546,ocds-dgv273-seacev3-1187546-2026-03-06T10:09:59.814418-05:00,1187546-20600871723,21201107,15101505,Diesel,UNSPSC
ocds-dgv273-seacev3-1188420,ocds-dgv273-seacev3-1188420-2026-03-06T10:09:59.519136-05:00,1188420-1766045,21203629,81101508,Ingeniería arquitectónica,UNSPSC
ocds-dgv273-seacev3-2026-10096-5,ocds-dgv273-seacev3-2026-10096-5-2026-03-06T10:09:59.425024-05:00,1186416-20542312450,21197792,72151515,Servicio de inspección eléctrica,UNSPSC
ocds-dgv273-seacev3-1188129,ocds-dgv273-seacev3-1188129-2026-03-06T10:09:59.386046-05:00,1188129-20512866698,21203153,72154503,Servicio de alquiler de grúa,UNSPSC
ocds-dgv273-seacev3-2026-1160-10,ocds-dgv273-seacev3-2026-1160-10-2026-03-06T10:09:59.246445-05:00,1188063-20614584867,21203061,78111808,Alquiler de vehículos,UNSPSC
ocds-dgv273-seacev3-1186300,ocds-dgv273-seacev3-1186300-2026-03-06T10:09:57.677061-05:00,1186300-10104211513,21199832,95101505,Terreno en ciudad,UNSPSC
ocds-dgv273-seacev3-2026-1310-3,ocds-dgv273-seacev3-2026-1310-3-2026-03-06T10:09:57.288188-05:00,1186677-20539765061,21200292,24111503,Bolsas de plástico,UNSPSC
ocds-dgv273-seacev3-1191857,ocds-dgv273-seacev3-1191857-2026-03-06T10:09:53.102725-05:00,1191857-10464752850,21212364,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1191845,ocds-dgv273-seacev3-1191845-2026-03-06T10:09:52.730362-05:00,1191845-10098034841,21212219,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1191184,ocds-dgv273-seacev3-1191184-2026-03-06T10:09:50.800893-05:00,1191184-10704417999,21210691,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1188059,ocds-dgv273-seacev3-1188059-2026-03-06T10:09:49.070008-05:00,1188059-20605676066,21203053,10171505,Nutriente foliar,UNSPSC
ocds-dgv273-seacev3-1187487,ocds-dgv273-seacev3-1187487-2026-03-06T10:09:48.781177-05:00,1187487-10167490170,21201077,80131502,Alquiler de instalaciones comerciales o industriales,UNSPSC
ocds-dgv273-seacev3-1187527,ocds-dgv273-seacev3-1187527-2026-03-06T10:09:48.723516-05:00,1187527-10282614699,21201110,15101505,Diesel,UNSPSC
ocds-dgv273-seacev3-1191718,ocds-dgv273-seacev3-1191718-2026-03-06T10:09:42.527210-05:00,1191718-10741497633,21211874,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1191482,ocds-dgv273-seacev3-1191482-2026-03-06T10:09:42.302604-05:00,1191482-10099010776,21211456,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1191837,ocds-dgv273-seacev3-1191837-2026-03-06T10:09:41.965018-05:00,1191837-10452799630,21212230,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1191434,ocds-dgv273-seacev3-1191434-2026-03-06T10:09:41.932506-05:00,1191434-10435161249,21211356,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1191715,ocds-dgv273-seacev3-1191715-2026-03-06T10:09:41.287516-05:00,1191715-10704328562,21211883,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1191712,ocds-dgv273-seacev3-1191712-2026-03-06T10:09:41.273983-05:00,1191712-10458731271,21211880,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1191120,ocds-dgv273-seacev3-1191120-2026-03-06T10:09:40.397350-05:00,1191120-L5552918094,21210565,80141607,Gestión de eventos,UNSPSC
ocds-dgv273-seacev3-1191120,ocds-dgv273-seacev3-1191120-2026-03-06T10:09:40.397350-05:00,1191120-L5552918095,21210566,80141607,Gestión de eventos,UNSPSC
ocds-dgv273-seacev3-1191807,ocds-dgv273-seacev3-1191807-2026-03-06T10:09:38.615953-05:00,1191807-10407220311,21212308,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1188831,ocds-dgv273-seacev3-1188831-2026-03-06T10:09:37.929868-05:00,1188831-10704179541,21204509,93151515,Servicios de planificación nacional,UNSPSC
ocds-dgv273-seacev3-1187812,ocds-dgv273-seacev3-1187812-2026-03-06T10:09:37.485650-05:00,1187812-10458471083,21201954,85101503,Servicio para administrar consultorios médicos,UNSPSC
ocds-dgv273-seacev3-1188371,ocds-dgv273-seacev3-1188371-2026-03-06T10:09:37.116098-05:00,1188371-20506813191,21203402,51131909,Albúmina humana,UNSPSC
ocds-dgv273-seacev3-2026-49-48,ocds-dgv273-seacev3-2026-49-48-2026-03-06T10:09:35.725296-05:00,1186225-20511037001,21199754,30111601,Cemento,UNSPSC
ocds-dgv273-seacev3-1191180,ocds-dgv273-seacev3-1191180-2026-03-06T10:09:32.013895-05:00,1191180-10215331771,21210669,80131502,Alquiler de instalaciones comerciales o industriales,UNSPSC
ocds-dgv273-seacev3-1192078,ocds-dgv273-seacev3-1192078-2026-03-06T10:09:31.801768-05:00,1192078-L0000000199,21212745,80141607,Gestión de eventos,UNSPSC
ocds-dgv273-seacev3-2026-1852-5,ocds-dgv273-seacev3-2026-1852-5-2026-03-06T10:09:30.937416-05:00,1188775-20449314868,21204427,15101505,Diesel,UNSPSC
ocds-dgv273-seacev3-1188513,ocds-dgv273-seacev3-1188513-2026-03-06T10:09:28.765739-05:00,1188513-20563576295,21203733,42131601,Delantales o mandiles para el personal médico,UNSPSC
ocds-dgv273-seacev3-1186873,ocds-dgv273-seacev3-1186873-2026-03-06T10:09:26.361023-05:00,1186873-20611249137,21200455,83121703,Servicios relacionados con Internet,UNSPSC
ocds-dgv273-seacev3-2026-200130-11,ocds-dgv273-seacev3-2026-200130-11-2026-03-06T10:09:26.129405-05:00,1187873-10469496649,21202171,51412702,Alteplasa,UNSPSC
ocds-dgv273-seacev3-1191353,ocds-dgv273-seacev3-1191353-2026-03-05T10:11:24.441029-05:00,1191353-10474493356,21211179,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1191199,ocds-dgv273-seacev3-1191199-2026-03-05T10:11:24.357115-05:00,1191199-10400625170,21210678,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1186727,ocds-dgv273-seacev3-1186727-2026-03-05T10:11:22.439276-05:00,1186727-20608314581,21200329,91111601,Servicios de limpieza y mantenimiento,UNSPSC
ocds-dgv273-seacev3-1191345,ocds-dgv273-seacev3-1191345-2026-03-05T10:11:17.926785-05:00,1191345-10464819920,21211133,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1189315,ocds-dgv273-seacev3-1189315-2026-03-05T10:11:16.978049-05:00,1189315-10009020921,21205563,95101901,Granja,UNSPSC
ocds-dgv273-seacev3-1191302,ocds-dgv273-seacev3-1191302-2026-03-05T10:11:15.215980-05:00,1191302-10705095766,21210956,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1191208,ocds-dgv273-seacev3-1191208-2026-03-05T10:11:14.559189-05:00,1191208-10432565535,21210681,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1191142,ocds-dgv273-seacev3-1191142-2026-03-05T10:11:14.173134-05:00,1191142-10461878909,21210617,77101805,Servicios de control de calidad ambiental,UNSPSC
ocds-dgv273-seacev3-1188790,ocds-dgv273-seacev3-1188790-2026-03-05T10:11:13.374105-05:00,1188790-20600645219,21204415,70171602,Servicios de ensayos del agua,UNSPSC
ocds-dgv273-seacev3-1187565,ocds-dgv273-seacev3-1187565-2026-03-05T10:11:12.484089-05:00,1187565-20494791235,21201404,30111601,Cemento,UNSPSC
