Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Contratos:ID del Contrato,Entrega compilada:Contratos:Artículos Contratados:ID,compiledRelease/contracts/0/items/0/position,Entrega compilada:Contratos:Artículos Contratados:Descripción,compiledRelease/contracts/0/items/0/statusDetails,compiledRelease/contracts/0/items/0/status,Entrega compilada:Contratos:Artículos Contratados:Clasificación:ID,Entrega compilada:Contratos:Artículos Contratados:Clasificación:Descripción,Entrega compilada:Contratos:Artículos Contratados:Clasificación:Esquema,Entrega compilada:Contratos:Artículos Contratados:Cantidad,compiledRelease/contracts/0/items/0/totalValue/amount,compiledRelease/contracts/0/items/0/totalValue/currency,compiledRelease/contracts/0/items/0/totalValue/currencyName,Entrega compilada:Contratos:Artículos Contratados:Unidad:ID,Entrega compilada:Contratos:Artículos Contratados:Unidad:Nombre,Entrega compilada:Contratos:Artículos Contratados:Unidad:Esquema,_mes_origen
ocds-dgv273-seacev3-1188129,ocds-dgv273-seacev3-1188129-2026-03-06T10:09:59.386046-05:00,2379475,21203153,1,SERVICIO DE ALQUILER DE GRUA,Contratado,active,7215450300232891.0,SERVICIO DE ALQUILER DE GRUA,CUBSO,1.0,2769120.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1160-10,ocds-dgv273-seacev3-2026-1160-10-2026-03-06T10:09:59.246445-05:00,2379477,21203061,1,CAMIONETA 4X4 DOBLE CABINA,Contratado,active,7811180800371310.0,SERVICIO DE ALQUILER DE CAMIONETA PICK UP CABINA DOBLE 4 X 4,CUBSO,1.0,45000.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1186300,ocds-dgv273-seacev3-1186300-2026-03-06T10:09:57.677061-05:00,2379499,21199832,1,ADQUISICIÓN DE UN (01) BIEN INMUEBLE PARA CONSTRUCCIÓN DE LOCAL DE PROGRAMAS SOCIALES DE LA MUNICIPALIDAD PROVINCIAL DE CHURCAMPA,Contratado,active,9510150500086740.0,TERRENO URBANO,CUBSO,1.0,80000.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1310-3,ocds-dgv273-seacev3-2026-1310-3-2026-03-06T10:09:57.288188-05:00,2379393,21200292,1,ADQUISICIÓN DE BOLSAS DE POLIETILENO BIODEGRADABLE COLOR VERDE Y NEGRO,Contratado,active,2411150300052677.0,BOLSA PLANA DE POLIETILENO DE 50 in X 40 in X 25 µm,CUBSO,160.0,100500.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191857,ocds-dgv273-seacev3-1191857-2026-03-06T10:09:53.102725-05:00,2379331,21212364,40,SERVICIO DE EVALUACION EN TEMAS AMBIENTALES,Contratado,active,7710180500314145.0,SERVICIO DE EVALUACION EN TEMAS AMBIENTALES,CUBSO,1.0,12000.0,PEN,Nuevos Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191845,ocds-dgv273-seacev3-1191845-2026-03-06T10:09:52.730362-05:00,2379325,21212219,35,SERVICIO DE EVALUACION EN TEMAS AMBIENTALES,Contratado,active,7710180500314145.0,SERVICIO DE EVALUACION EN TEMAS AMBIENTALES,CUBSO,1.0,24000.0,PEN,Nuevos Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191184,ocds-dgv273-seacev3-1191184-2026-03-06T10:09:50.800893-05:00,2379357,21210691,47,SERVICIO DE EVALUACION EN TEMAS AMBIENTALES,Contratado,active,7710180500314145.0,SERVICIO DE EVALUACION EN TEMAS AMBIENTALES,CUBSO,1.0,12000.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1188059,ocds-dgv273-seacev3-1188059-2026-03-06T10:09:49.070008-05:00,2379373,21203053,1,"CONTRATACIÓN DE BIENES PARA LA ADQUISICIÓN DE FERTILIZANTES, ABONOS, INSECTICIDAS E INSUMOS, PARA SER UTILIZADOS POR EL PROYECTO: ¿MEJORAMIENTO DE LOS SERVICIO DE APOYO AL DESARROLLO PRODUCTIVO EN LA CADENA PRODUCTIVA DE PLATANO EN 13 LOCALIDADES DE",Contratado,active,1017150500131772.0,FERTILIZANTE FOLIAR FOSFORO + POTASIO AL 42% + 28%,CUBSO,10.0,211340.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1187487,ocds-dgv273-seacev3-1187487-2026-03-06T10:09:48.781177-05:00,2379375,21201077,1,alquiler de local,Contratado,active,8013150200094959.0,SERVICIO DE ALQUILER DE INMUEBLE,CUBSO,1.0,132000.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1187527,ocds-dgv273-seacev3-1187527-2026-03-06T10:09:48.723516-05:00,2379485,21201110,1,DIESEL B5 S-50,Contratado,active,1510150500233280.0,DIESEL B5 S-50,CUBSO,4000.0,70000.0,PEN,Soles,13,Galon,PE-SEACE3-UnidadMedida,2026-02_seace_v3_csv_es
