Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Licitación:ID de licitación,Entrega compilada:Licitación:Artículos que se adquirirán:ID,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificaciones adicionales:ID,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificaciones adicionales:Descripción,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificaciones adicionales:Esquema
ocds-dgv273-seacev3-1185504,ocds-dgv273-seacev3-1185504-2026-04-25T10:19:50.800644-05:00,1185504,21199014,50161509,Azúcares naturales o productos edulcorantes,UNSPSC
ocds-dgv273-seacev3-2026-51-1,ocds-dgv273-seacev3-2026-51-1-2026-04-25T10:19:30.233941-05:00,1185223,21196675,81101508,Ingeniería arquitectónica,UNSPSC
ocds-dgv273-seacev3-1185993,ocds-dgv273-seacev3-1185993-2026-04-24T10:19:40.354381-05:00,1185993,21199539,72141003,Servicios de mantenimiento de pistas y carreteras,UNSPSC
ocds-dgv273-seacev3-1191105,ocds-dgv273-seacev3-1191105-2026-04-24T10:18:56.486458-05:00,1191105,21210595,72141701,Servicio de arrendamiento o alquiler de maquinaria de construcción,UNSPSC
ocds-dgv273-seacev3-1197675,ocds-dgv273-seacev3-1197675-2026-04-24T10:18:28.444608-05:00,1197675,21226656,78,"Servicios de transporte, almacenamiento y correspondencia",UNSPSC
ocds-dgv273-seacev3-2026-642-1,ocds-dgv273-seacev3-2026-642-1-2026-04-23T10:35:58.746516-05:00,1184876,21195745,50221101,Granos de cereal,UNSPSC
ocds-dgv273-seacev3-1187208,ocds-dgv273-seacev3-1187208-2026-04-22T10:35:40.812473-05:00,1187208,21198343,81101508,Ingeniería arquitectónica,UNSPSC
ocds-dgv273-seacev3-1194406,ocds-dgv273-seacev3-1194406-2026-04-22T10:35:37.636442-05:00,1194406,21218937,72121408,Servicios de construcción de estadios,UNSPSC
ocds-dgv273-seacev3-1207362,ocds-dgv273-seacev3-1207362-2026-04-22T10:35:36.423767-05:00,1207362,21253909,80101604,Administración o planificación de proyectos,UNSPSC
ocds-dgv273-seacev3-1207379,ocds-dgv273-seacev3-1207379-2026-04-22T10:35:23.945270-05:00,1207379,21253923,80101604,Administración o planificación de proyectos,UNSPSC
ocds-dgv273-seacev3-1207404,ocds-dgv273-seacev3-1207404-2026-04-22T10:35:22.874969-05:00,1207404,21253938,80101606,Evaluación y monitoreo de proyectos,UNSPSC
ocds-dgv273-seacev3-2026-74929-6,ocds-dgv273-seacev3-2026-74929-6-2026-04-22T10:35:20.118413-05:00,1185908,21199453,77101601,Plan de desarrollo urbano ambiental,UNSPSC
ocds-dgv273-seacev3-1185527,ocds-dgv273-seacev3-1185527-2026-04-22T10:35:19.721911-05:00,1185527,21196937,72141106,Servicios de construcción de caminos de grava o tierra,UNSPSC
ocds-dgv273-seacev3-2026-1320-6,ocds-dgv273-seacev3-2026-1320-6-2026-04-22T10:35:08.616934-05:00,1185510,21199023,72151607,Ingeniería de superficie para equipos de comunicación,UNSPSC
ocds-dgv273-seacev3-2026-1085-1,ocds-dgv273-seacev3-2026-1085-1-2026-04-22T10:34:58.659539-05:00,1185259,21198587,93142001,Servicios de planificación de desarrollo urbano,UNSPSC
ocds-dgv273-seacev3-1205165,ocds-dgv273-seacev3-1205165-2026-04-19T10:08:37.358993-05:00,1205165,21248346,80161504,Servicios de oficina,UNSPSC
ocds-dgv273-seacev3-1204709,ocds-dgv273-seacev3-1204709-2026-04-19T10:08:37.270148-05:00,1204709,21247341,86101807,Desarrollo de fuerza de trabajo del sector administrativo,UNSPSC
ocds-dgv273-seacev3-1184915,ocds-dgv273-seacev3-1184915-2026-04-19T10:08:35.303638-05:00,1184915,21195785,72141003,Servicios de mantenimiento de pistas y carreteras,UNSPSC
ocds-dgv273-seacev3-1204734,ocds-dgv273-seacev3-1204734-2026-04-19T10:08:21.512984-05:00,1204734,21247460,86101807,Desarrollo de fuerza de trabajo del sector administrativo,UNSPSC
ocds-dgv273-seacev3-1185787,ocds-dgv273-seacev3-1185787-2026-04-19T10:08:16.564434-05:00,1185787,21197205,72141003,Servicios de mantenimiento de pistas y carreteras,UNSPSC
ocds-dgv273-seacev3-1204643,ocds-dgv273-seacev3-1204643-2026-04-19T10:08:01.373313-05:00,1204643,21247216,81101512,Servicios de sistemas de información geográfica GIS,UNSPSC
ocds-dgv273-seacev3-1206947,ocds-dgv273-seacev3-1206947-2026-04-19T10:07:58.642269-05:00,1206947,21252859,80101606,Evaluación y monitoreo de proyectos,UNSPSC
ocds-dgv273-seacev3-1185917,ocds-dgv273-seacev3-1185917-2026-04-18T10:19:51.906418-05:00,1185917,21199462,81101508,Ingeniería arquitectónica,UNSPSC
ocds-dgv273-seacev3-1185750,ocds-dgv273-seacev3-1185750-2026-04-18T10:19:51.375840-05:00,1185750,21197166,50192701,Comidas combinadas frescas,UNSPSC
ocds-dgv273-seacev3-1185750,ocds-dgv273-seacev3-1185750-2026-04-18T10:19:51.375840-05:00,1185750,21197167,50192701,Comidas combinadas frescas,UNSPSC
ocds-dgv273-seacev3-2026-1003003812-7,ocds-dgv273-seacev3-2026-1003003812-7-2026-04-18T10:19:29.283981-05:00,1185920,21197275,78111808,Alquiler de vehículos,UNSPSC
ocds-dgv273-seacev3-2026-443-1,ocds-dgv273-seacev3-2026-443-1-2026-04-18T10:18:45.254843-05:00,1184856,21195655,72152801,Servicios de perforación de pozos de agua domésticos,UNSPSC
ocds-dgv273-seacev3-1185353,ocds-dgv273-seacev3-1185353-2026-04-17T10:28:58.055091-05:00,1185353,21198866,30111601,Cemento,UNSPSC
ocds-dgv273-seacev3-2026-697-1,ocds-dgv273-seacev3-2026-697-1-2026-04-17T10:28:36.803520-05:00,1185760,21199301,50221101,Granos de cereal,UNSPSC
ocds-dgv273-seacev3-2026-697-1,ocds-dgv273-seacev3-2026-697-1-2026-04-17T10:28:36.803520-05:00,1185760,21199300,50131702,Leche o productos de mantequilla estables sin refrigerar,UNSPSC
ocds-dgv273-seacev3-1185637,ocds-dgv273-seacev3-1185637-2026-04-17T10:28:36.480157-05:00,1185637,21199166,80131502,Alquiler de instalaciones comerciales o industriales,UNSPSC
ocds-dgv273-seacev3-1185582,ocds-dgv273-seacev3-1185582-2026-04-17T10:28:35.991012-05:00,1185582,21196959,80131502,Alquiler de instalaciones comerciales o industriales,UNSPSC
